,FIPS,Admin2,Province/State,Country/Region,Last Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3033,,,Adygea Republic,Russia,2020-06-04 02:33:14,44.6939006,40.1520421,904,9,465,430,"Adygea Republic, Russia",199.3929983060418,0.9955752212389379
3039,,,Altai Krai,Russia,2020-06-04 02:33:14,52.693224300000004,82.69314240000001,2066,12,866,1188,"Altai Krai, Russia",87.9119008714597,0.5808325266214908
3040,,,Altai Republic,Russia,2020-06-04 02:33:14,50.7114101,86.8572186,138,0,84,54,"Altai Republic, Russia",63.28446366417045,0.0
3045,,,Amur Oblast,Russia,2020-06-04 02:33:14,52.8032368,128.437295,566,5,198,363,"Amur Oblast, Russia",70.88965261565285,0.8833922261484098
3059,,,Arkhangelsk Oblast,Russia,2020-06-04 02:33:14,63.5589686,43.1221646,2363,7,698,1658,"Arkhangelsk Oblast, Russia",204.58378498183598,0.29623360135421073
3061,,,Astrakhan Oblast,Russia,2020-06-04 02:33:14,47.1878186,47.608851,2004,19,1052,933,"Astrakhan Oblast, Russia",196.95060706781433,0.9481037924151696
3073,,,Bashkortostan Republic,Russia,2020-06-04 02:33:14,54.8573563,57.1439682,3501,18,1192,2291,"Bashkortostan Republic, Russia",86.16164278578975,0.5141388174807198
3077,,,Belgorod Oblast,Russia,2020-06-04 02:33:14,50.7080119,37.5837615,2548,22,1082,1444,"Belgorod Oblast, Russia",164.4002487940971,0.8634222919937206
3088,,,Bryansk Oblast,Russia,2020-06-04 02:33:14,52.887331499999995,33.41585300000001,3982,31,2522,1429,"Bryansk Oblast, Russia",328.8240452789554,0.77850326469111
3089,,,Buryatia Republic,Russia,2020-06-04 02:33:14,52.718242599999996,109.492143,1587,10,917,660,"Buryatia Republic, Russia",161.1967768770486,0.630119722747322
3111,,,Chechen Republic,Russia,2020-06-04 02:33:14,43.39761470000001,45.6985005,1278,14,894,370,"Chechen Republic, Russia",88.9364577541387,1.0954616588419406
3112,,,Chelyabinsk Oblast,Russia,2020-06-04 02:33:14,54.4223954,61.1865846,3150,20,1394,1736,"Chelyabinsk Oblast, Russia",90.17943130274062,0.6349206349206349
3121,,,Chukotka Autonomous Okrug,Russia,2020-06-04 02:33:14,66.0006475,169.4900869,87,1,59,27,"Chukotka Autonomous Okrug, Russia",176.29893815352193,1.1494252873563218
