,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3062,,,Adygea Republic,Russia,2020-06-13 03:33:14,44.6939006,40.1520421,1251,12,708,531,"Adygea Republic, Russia",275.92991247882554,0.9592326139088728
3068,,,Altai Krai,Russia,2020-06-13 03:33:14,52.693224300000004,82.69314240000001,2659,19,1569,1071,"Altai Krai, Russia",113.14508442265794,0.7145543437382474
3069,,,Altai Republic,Russia,2020-06-13 03:33:14,50.7114101,86.8572186,220,0,124,96,"Altai Republic, Russia",100.88827540664852,0.0
3074,,,Amur Oblast,Russia,2020-06-13 03:33:14,52.8032368,128.437295,914,5,345,564,"Amur Oblast, Russia",114.47551676803305,0.5470459518599562
3090,,,Arkhangelsk Oblast,Russia,2020-06-13 03:33:14,63.5589686,43.1221646,3474,16,1028,2430,"Arkhangelsk Oblast, Russia",300.77192933850955,0.4605641911341393
3094,,,Astrakhan Oblast,Russia,2020-06-13 03:33:14,47.1878186,47.608851,2630,24,1560,1046,"Astrakhan Oblast, Russia",258.4731020899958,0.9125475285171104
3108,,,Bashkortostan Republic,Russia,2020-06-13 03:33:14,54.8573563,57.1439682,4348,18,1759,2571,"Bashkortostan Republic, Russia",107.0068045794384,0.4139834406623735
3112,,,Belgorod Oblast,Russia,2020-06-13 03:33:14,50.7080119,37.5837615,3207,33,2035,1139,"Belgorod Oblast, Russia",206.91977938880268,1.0289990645463052
3125,,,Bryansk Oblast,Russia,2020-06-13 03:33:14,52.887331499999995,33.41585300000001,4825,32,3431,1362,"Bryansk Oblast, Russia",398.4369709871823,0.6632124352331606
3126,,,Buryatia Republic,Russia,2020-06-13 03:33:14,52.718242599999996,109.492143,2110,11,1235,864,"Buryatia Republic, Russia",214.31959622594366,0.5213270142180095
3149,,,Chechen Republic,Russia,2020-06-13 03:33:14,43.39761470000001,45.6985005,1441,17,1121,303,"Chechen Republic, Russia",100.27968358663057,1.1797362942401108
3150,,,Chelyabinsk Oblast,Russia,2020-06-13 03:33:14,54.4223954,61.1865846,4221,37,2187,1997,"Chelyabinsk Oblast, Russia",120.84043794567249,0.8765695332859512
3160,,,Chukotka Autonomous Okrug,Russia,2020-06-13 03:33:14,66.0006475,169.4900869,120,1,70,49,"Chukotka Autonomous Okrug, Russia",243.17094917727158,0.8333333333333334
3161,,,Chuvashia Republic,Russia,2020-06-13 03:33:14,55.4259922,47.0849429,3878,18,2030,1830,"Chuvashia Republic, Russia",314.99849323825435,0.4641567818463125
3172,,,Dagestan Republic,Russia,2020-06-13 03:33:14,43.05749160000001,47.1332224,6367,309,4688,1370,"Dagestan Republic, Russia",207.8080606811287,4.8531490497879695
3239,,,Ingushetia Republic,Russia,2020-06-13 03:33:14,43.11542075,45.01713552,2510,62,1850,598,"Ingushetia Republic, Russia",514.2989449700129,2.47011952191235
3241,,,Irkutsk Oblast,Russia,2020-06-13 03:33:14,56.6370122,104.71922099999999,3656,20,980,2656,"Irkutsk Oblast, Russia",152.067531959762,0.5470459518599562
3246,,,Ivanovo Oblast,Russia,2020-06-13 03:33:14,56.9167446,41.43521370000001,3228,27,1348,1853,"Ivanovo Oblast, Russia",318.14051403149466,0.8364312267657993
3250,,,Jewish Autonomous Okrug,Russia,2020-06-13 03:33:14,48.57527615,132.66307460000002,367,4,275,88,"Jewish Autonomous Okrug, Russia",226.52363376004544,1.0899182561307903
3257,,,Kabardino-Balkarian Republic,Russia,2020-06-13 03:33:14,43.480604799999995,43.5978976,3734,35,1874,1825,"Kabardino-Balkarian Republic, Russia",431.2634842024051,0.9373326191751472
3260,,,Kaliningrad Oblast,Russia,2020-06-13 03:33:14,54.7293041,21.1489473,1984,31,976,977,"Kaliningrad Oblast, Russia",199.4773773148777,1.5625
3262,,,Kalmykia Republic,Russia,2020-06-13 03:33:14,46.2313018,45.3275745,1233,18,776,439,"Kalmykia Republic, Russia",447.6912854513041,1.45985401459854
