,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Incidence_Rate,Case-Fatality_Ratio,Latitude,Longitude
3065,Adygea Republic,Russia,2020-06-15 03:33:14,1311,12,771,289.16396103896096,0.9153318077803204,44.6939006,40.1520421
3071,Altai Krai,Russia,2020-06-15 03:33:14,2795,19,1667,118.93212145969498,0.6797853309481217,52.693224300000004,82.69314240000001
3072,Altai Republic,Russia,2020-06-15 03:33:14,256,0,128,117.3972659277365,0.0,50.7114101,86.8572186
3077,Amur Oblast,Russia,2020-06-15 03:33:14,1018,6,359,127.50117731931904,0.5893909626719057,52.8032368,128.437295
3093,Arkhangelsk Oblast,Russia,2020-06-15 03:33:14,3696,19,1054,319.9922426123003,0.5140692640692641,63.5589686,43.1221646
3097,Astrakhan Oblast,Russia,2020-06-15 03:33:14,2733,24,1678,268.5958129323037,0.8781558726673985,47.1878186,47.608851
3111,Bashkortostan Republic,Russia,2020-06-15 03:33:14,4486,18,1853,110.4030647063847,0.4012483281319661,54.8573563,57.1439682
3115,Belgorod Oblast,Russia,2020-06-15 03:33:14,3364,36,2083,217.04962203427888,1.070154577883472,50.7080119,37.5837615
3128,Bryansk Oblast,Russia,2020-06-15 03:33:14,5011,32,3609,413.7964065526986,0.6385950908002395,52.887331499999995,33.41585300000001
3129,Buryatia Republic,Russia,2020-06-15 03:33:14,2203,11,1319,223.76591018282173,0.4993191103041307,52.718242599999996,109.492143
3152,Chechen Republic,Russia,2020-06-15 03:33:14,1481,17,1128,103.06329728785559,1.1478730587440915,43.39761470000001,45.6985005
3153,Chelyabinsk Oblast,Russia,2020-06-15 03:33:14,4482,43,2399,128.31244796789954,0.9593931280678268,54.4223954,61.1865846
3163,Chukotka Autonomous Okrug,Russia,2020-06-15 03:33:14,129,1,83,261.40877036556697,0.7751937984496124,66.0006475,169.4900869
3164,Chuvashia Republic,Russia,2020-06-15 03:33:14,4033,18,2156,327.5886857219906,0.4463178775105381,55.4259922,47.0849429
3175,Dagestan Republic,Russia,2020-06-15 03:33:14,6557,316,4731,214.00933781783584,4.819277108433735,43.05749160000001,47.1332224
3242,Ingushetia Republic,Russia,2020-06-15 03:33:14,2587,62,2113,530.0762432818419,2.3965983764978738,43.11542075,45.01713552
3244,Irkutsk Oblast,Russia,2020-06-15 03:33:14,4028,20,1010,167.54048652459556,0.4965243296921549,56.6370122,104.71922099999999
3249,Ivanovo Oblast,Russia,2020-06-15 03:33:14,3417,27,1378,336.7677002619633,0.7901668129938543,56.9167446,41.43521370000001
3253,Jewish Autonomous Okrug,Russia,2020-06-15 03:33:14,374,4,278,230.8442480279482,1.0695187165775402,48.57527615,132.66307460000002
3260,Kabardino-Balkarian Republic,Russia,2020-06-15 03:33:14,3895,38,1936,449.8584014376989,0.975609756097561,43.480604799999995,43.5978976
3263,Kaliningrad Oblast,Russia,2020-06-15 03:33:14,2072,31,984,208.32516421190846,1.496138996138996,54.7293041,21.1489473
3265,Kalmykia Republic,Russia,2020-06-15 03:33:14,1263,18,821,458.5840174574185,1.4251781472684086,46.2313018,45.3275745
3266,Kaluga Oblast,Russia,2020-06-15 03:33:14,5091,39,2485,503.035405155446,0.7660577489687684,54.438277299999996,35.5272854
3267,Kamchatka Krai,Russia,2020-06-15 03:33:14,1454,10,428,460.77253871725236,0.687757909215956,57.191488199999995,160.03838190000005
3269,Karachay-Cherkess Republic,Russia,2020-06-15 03:33:14,2156,9,541,462.35832770397064,0.4174397031539889,43.7368326,41.7267991
3270,Karelia Republic,Russia,2020-06-15 03:33:14,784,2,287,125.94701229268543,0.2551020408163265,62.61940309999999,33.4920267
3272,Kemerovo Oblast,Russia,2020-06-15 03:33:14,1019,7,412,37.812486432590426,0.6869479882237488,54.53357809999999,87.342861
3274,Khabarovsk Krai,Russia,2020-06-15 03:33:14,3009,19,1458,226.52981023893662,0.6314390162844798,51.6312684,136.121524
3275,Khakassia Republic,Russia,2020-06-15 03:33:14,1332,10,913,247.80795999352574,0.7507507507507507,53.72258845,91.44293627
3276,Khanty-Mansi Autonomous Okrug,Russia,2020-06-15 03:33:14,4569,27,1946,298.19030010252936,0.5909389363099147,61.0259025,69.0982628
3283,Kirov Oblast,Russia,2020-06-15 03:33:14,2547,26,1617,198.48227686524243,1.0208087946603848,57.9665589,49.4074599
3286,Komi Republic,Russia,2020-06-15 03:33:14,2266,28,1025,269.4818361393457,1.235657546337158,63.9881421,54.3326073
3287,Kostroma Oblast,Russia,2020-06-15 03:33:14,1136,12,593,176.58287270488896,1.056338028169014,58.424756,44.253327299999995
3288,Krasnodar Krai,Russia,2020-06-15 03:33:14,4970,52,3675,88.69583218819935,1.0462776659959758,45.768401399999995,39.0261044
3289,Krasnoyarsk Krai,Russia,2020-06-15 03:33:14,6494,64,2205,225.7607082503476,0.985525100092393,63.3233807,97.09799740000001
3292,Kurgan Oblast,Russia,2020-06-15 03:33:14,384,0,220,45.41492566262624,0.0,55.7655302,64.5632681
3293,Kursk Oblast,Russia,2020-06-15 03:33:14,3994,22,2152,358.13015529434546,0.5508262393590385,51.6568453,36.4852695
3301,Leningrad Oblast,Russia,2020-06-15 03:33:14,3553,23,2666,195.8853599262549,0.6473402758232479,60.185329599999996,32.3925325
3305,Lipetsk Oblast,Russia,2020-06-15 03:33:14,2995,9,1278,260.38927109261766,0.3005008347245409,52.693517799999995,39.112266399999996
3316,Magadan Oblast,Russia,2020-06-15 03:33:14,480,4,222,333.12281821904213,0.8333333333333334,62.48858785,153.9903764
3324,Mari El Republic,Russia,2020-06-15 03:33:14,2375,18,2100,348.0705168883814,0.7578947368421053,56.576750399999995,47.881751200000004
3345,Mordovia Republic,Russia,2020-06-15 03:33:14,2596,21,1470,322.4620399077828,0.8089368258859785,54.4419829,44.466114399999995
3347,Moscow,Russia,2020-06-15 03:33:14,205905,3281,121691,1646.3880929451864,1.5934532915664992,55.7504461,37.6174943
3348,Moscow Oblast,Russia,2020-06-15 03:33:14,49353,678,16573,657.74313859678,1.3737766701112395,55.50431579999999,38.0353929
3350,Murmansk Oblast,Russia,2020-06-15 03:33:14,3946,7,2677,523.6498367077739,0.17739483020780536,68.00004179999999,33.9999151
3359,Nenets Autonomous Okrug,Russia,2020-06-15 03:33:14,82,0,32,186.37634384162558,0.0,68.27557185,57.1686375
3367,Nizhny Novgorod Oblast,Russia,2020-06-15 03:33:14,13995,168,6758,432.64522287952826,1.2004287245444802,55.47180329999999,44.091159399999995
3371,North Ossetia - Alania Republic,Russia,2020-06-15 03:33:14,3547,66,3212,505.4398552221897,1.8607273752466875,42.79336110000001,44.6324493
3377,Novgorod Oblast,Russia,2020-06-15 03:33:14,2011,12,483,331.58772977001564,0.5967180507210343,58.2843833,32.516975699999996
3378,Novosibirsk Oblast,Russia,2020-06-15 03:33:14,4285,55,2148,153.64761591610016,1.2835472578763127,54.9720169,79.48139240000002
3388,Omsk Oblast,Russia,2020-06-15 03:33:14,2247,23,1218,114.63811954710036,1.0235870048954159,56.09352629999999,73.5099936
3391,Orel Oblast,Russia,2020-06-15 03:33:14,3559,35,1689,476.28160434233934,0.9834223096375386,52.96854329999999,36.0692477
3392,Orenburg Oblast,Russia,2020-06-15 03:33:14,2768,11,1924,139.95914487389518,0.3973988439306359,52.02692620000001,54.7276647
3402,Penza Oblast,Russia,2020-06-15 03:33:14,3729,31,2887,280.0274845962355,0.8313220702601234,53.1655415,44.78791810000001
