,FIPS,Admin2,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Latitude,Longitude
3072,,,Adygea Republic,Russia,2020-06-19 04:33:17,1446,12,896,538,"Adygea Republic, Russia",318.940570299266,0.8298755186721992,44.6939006,40.1520421
3078,,,Altai Krai,Russia,2020-06-19 04:33:17,3078,24,2102,952,"Altai Krai, Russia",130.97426470588235,0.7797270955165692,52.693224300000004,82.69314240000001
3079,,,Altai Republic,Russia,2020-06-19 04:33:17,334,0,151,183,"Altai Republic, Russia",153.1667453900937,0.0,50.7114101,86.8572186
3084,,,Amur Oblast,Russia,2020-06-19 04:33:17,1181,7,480,694,"Amur Oblast, Russia",147.9163952987385,0.5927180355630821,52.8032368,128.437295
3100,,,Arkhangelsk Oblast,Russia,2020-06-19 04:33:17,4156,25,1393,2738,"Arkhangelsk Oblast, Russia",359.81811696339827,0.6015399422521656,63.5589686,43.1221646
3104,,,Astrakhan Oblast,Russia,2020-06-19 04:33:17,2987,26,1978,983,"Astrakhan Oblast, Russia",293.5586144269268,0.8704385671242049,47.1878186,47.608851
3118,,,Bashkortostan Republic,Russia,2020-06-19 04:33:17,4730,18,2182,2530,"Bashkortostan Republic, Russia",116.40804638011585,0.38054968287526425,54.8573563,57.1439682
3122,,,Belgorod Oblast,Russia,2020-06-19 04:33:17,3666,38,2504,1124,"Belgorod Oblast, Russia",236.535051836405,1.0365521003818876,50.7080119,37.5837615
3135,,,Bryansk Oblast,Russia,2020-06-19 04:33:17,5345,32,3904,1409,"Bryansk Oblast, Russia",441.377328482174,0.598690364826941,52.887331499999995,33.41585300000001
3136,,,Buryatia Republic,Russia,2020-06-19 04:33:17,2392,12,1456,924,"Buryatia Republic, Russia",242.96325790163846,0.5016722408026756,52.718242599999996,109.492143
3159,,,Chechen Republic,Russia,2020-06-19 04:33:17,1543,19,1147,377,"Chechen Republic, Russia",107.37789852475431,1.2313674659753726,43.39761470000001,45.6985005
3160,,,Chelyabinsk Oblast,Russia,2020-06-19 04:33:17,5125,51,2600,2474,"Chelyabinsk Oblast, Russia",146.72050331001455,0.9951219512195122,54.4223954,61.1865846
3170,,,Chukotka Autonomous Okrug,Russia,2020-06-19 04:33:17,129,1,91,37,"Chukotka Autonomous Okrug, Russia",261.40877036556697,0.7751937984496124,66.0006475,169.4900869
3171,,,Chuvashia Republic,Russia,2020-06-19 04:33:17,4331,21,2361,1949,"Chuvashia Republic, Russia",351.7943461100773,0.4848764719464327,55.4259922,47.0849429
3182,,,Dagestan Republic,Russia,2020-06-19 04:33:17,6927,338,4824,1765,"Dagestan Republic, Russia",226.08550908405502,4.879457196477551,43.05749160000001,47.1332224
3249,,,Ingushetia Republic,Russia,2020-06-19 04:33:17,2725,64,2187,474,"Ingushetia Republic, Russia",558.3524402562889,2.3486238532110093,43.11542075,45.01713552
3251,,,Irkutsk Oblast,Russia,2020-06-19 04:33:17,4786,27,1432,3327,"Irkutsk Oblast, Russia",199.06871114863807,0.5641454241537819,56.6370122,104.71922099999999
3256,,,Ivanovo Oblast,Russia,2020-06-19 04:33:17,3768,32,1756,1980,"Ivanovo Oblast, Russia",371.3610461185477,0.8492569002123143,56.9167446,41.43521370000001
3260,,,Jewish Autonomous Okrug,Russia,2020-06-19 04:33:17,386,5,297,84,"Jewish Autonomous Okrug, Russia",238.25101534435296,1.2953367875647668,48.57527615,132.66307460000002
3267,,,Kabardino-Balkarian Republic,Russia,2020-06-19 04:33:17,4209,41,2167,2001,"Kabardino-Balkarian Republic, Russia",486.1242648655391,0.9741031123782372,43.480604799999995,43.5978976
3270,,,Kaliningrad Oblast,Russia,2020-06-19 04:33:17,2195,33,1127,1035,"Kaliningrad Oblast, Russia",220.6919572611676,1.5034168564920274,54.7293041,21.1489473
3272,,,Kalmykia Republic,Russia,2020-06-19 04:33:17,1292,18,904,370,"Kalmykia Republic, Russia",469.1136583966625,1.3931888544891642,46.2313018,45.3275745
3273,,,Kaluga Oblast,Russia,2020-06-19 04:33:17,5399,41,2740,2618,"Kaluga Oblast, Russia",533.4685037191617,0.7593998888683089,54.438277299999996,35.5272854
3274,,,Kamchatka Krai,Russia,2020-06-19 04:33:17,1617,22,533,1062,"Kamchatka Krai, Russia",512.4272318471782,1.3605442176870748,57.191488199999995,160.03838190000005
3276,,,Karachay-Cherkess Republic,Russia,2020-06-19 04:33:17,2545,9,620,1916,"Karachay-Cherkess Republic, Russia",545.7801224520432,0.35363457760314343,43.7368326,41.7267991
3277,,,Karelia Republic,Russia,2020-06-19 04:33:17,912,2,359,551,"Karelia Republic, Russia",146.50978980985857,0.21929824561403508,62.61940309999999,33.4920267
3279,,,Kemerovo Oblast,Russia,2020-06-19 04:33:17,1099,7,466,626,"Kemerovo Oblast, Russia",40.781082030831094,0.6369426751592356,54.53357809999999,87.342861
3281,,,Khabarovsk Krai,Russia,2020-06-19 04:33:17,3294,21,1634,1639,"Khabarovsk Krai, Russia",247.98577431939427,0.6375227686703097,51.6312684,136.121524
3282,,,Khakassia Republic,Russia,2020-06-19 04:33:17,1444,12,1131,301,"Khakassia Republic, Russia",268.64466533832666,0.8310249307479224,53.72258845,91.44293627
3283,,,Khanty-Mansi Autonomous Okrug,Russia,2020-06-19 04:33:17,5453,32,2663,2758,"Khanty-Mansi Autonomous Okrug, Russia",355.8834988967155,0.5868329359985329,61.0259025,69.0982628
3290,,,Kirov Oblast,Russia,2020-06-19 04:33:17,2734,28,1986,720,"Kirov Oblast, Russia",213.0547879660671,1.024140453547915,57.9665589,49.4074599
3293,,,Komi Republic,Russia,2020-06-19 04:33:17,2573,28,1140,1405,"Komi Republic, Russia",305.9915112032376,1.0882238631947143,63.9881421,54.3326073
